n independent dependent
1 1 1
2 0.707106781187 0.74161984871
3 0.57735026919 0.632455532034
4 0.5 0.57008771255
5 0.4472135955 0.529150262213
6 0.408248290464 0.5
7 0.377964473009 0.478091443734
8 0.353553390593 0.460977222865
9 0.333333333333 0.4472135955
10 0.316227766017 0.435889894354
11 0.301511344578 0.426401432711
12 0.288675134595 0.418330013267
13 0.277350098113 0.411376675604
14 0.267261241912 0.405321741689
15 0.258198889747 0.4
16 0.25 0.395284707521
17 0.242535625036 0.391076944438
18 0.235702260396 0.387298334621
19 0.229415733871 0.383885947975
20 0.22360679775 0.380788655293
21 0.218217890236 0.377964473009
22 0.213200716356 0.375378596765
23 0.208514414057 0.373001923296
24 0.204124145232 0.370809924355
25 0.2 0.368781778292
26 0.196116135138 0.366899692853
27 0.19245008973 0.36514837167
28 0.188982236505 0.36351459
29 0.185695338177 0.3619868544
30 0.182574185835 0.360555127546
31 0.179605302027 0.359210604054
32 0.176776695297 0.357945526582
33 0.174077655956 0.356753034006
34 0.171498585143 0.355627035299
35 0.169030850946 0.354562104171
36 0.166666666667 0.353553390593
37 0.164398987305 0.352596546104
38 0.162221421131 0.351687660469
39 0.160128153805 0.350823207723
40 0.158113883008 0.35
41 0.156173761889 0.349215147885
42 0.154303349962 0.348466026219
43 0.152498570333 0.347750244512
44 0.150755672289 0.347065621251
45 0.1490711985 0.346410161514
46 0.147441956155 0.345782037404
47 0.145864991498 0.345179570905
48 0.144337567297 0.344601218802
49 0.142857142857 0.344045559394
50 0.141421356237 0.343511280746
51 0.140028008403 0.342997170285
52 0.138675049056 0.342502105552
53 0.137360563949 0.342025045977
54 0.136082763488 0.341565025532
55 0.134839972493 0.341121146169
56 0.133630620956 0.340692571935
57 0.132453235707 0.340278523689
58 0.13130643286 0.339878274356
59 0.130188910981 0.339491144639
60 0.129099444874 0.339116499156
61 0.128036879933 0.338753742947
62 0.127000127 0.338402318302
63 0.12598815767 0.338061701891
64 0.125 0.337731402153
65 0.124034734589 0.337410956915
66 0.123091490979 0.337099931232
67 0.122169444356 0.336797915405
68 0.121267812518 0.336504523176
69 0.120385853086 0.336219390073
70 0.119522860933 0.335942171894
71 0.118678165819 0.335672543319
72 0.117851130198 0.335410196625
73 0.117041147196 0.335154840519
74 0.116247638744 0.33490619905
75 0.115470053838 0.334664010614
76 0.114707866935 0.33442802703
77 0.11396057646 0.334198012694
78 0.113227703414 0.333973743786
79 0.112508790093 0.333755007548
80 0.111803398875 0.333541601603
81 0.111111111111 0.333333333333
82 0.110431526075 0.333130019296
83 0.10976425999 0.332931484684
84 0.109108945118 0.332737562824
85 0.108465228909 0.332548094708
86 0.107832773203 0.332362928557
87 0.107211253484 0.332181919415
88 0.106600358178 0.33200492877
89 0.105999788001 0.331831824198
90 0.105409255339 0.331662479036
91 0.104828483672 0.331496772066
92 0.104257207029 0.331334587231
93 0.103695169473 0.33117581336
94 0.103142124626 0.331020343914
95 0.102597835209 0.330868076747
96 0.102062072616 0.330718913883
97 0.101534616513 0.330572761303
98 0.101015254455 0.330429528749
99 0.100503781526 0.330289129538
100 0.1 0.330151480384
101 0.099503719021 0.330016501238
102 0.0990147542977 0.329884115125
103 0.0985329278164 0.329754248005
104 0.0980580675691 0.329626828632
105 0.0975900072949 0.329501788419
106 0.0971285862357 0.329379061323
107 0.0966736489046 0.32925858372
108 0.0962250448649 0.329140294302
109 0.0957826285221 0.329024133969
110 0.0953462589246 0.32891004573
111 0.0949157995752 0.328797974611
112 0.0944911182523 0.328687867567
113 0.0940720868384 0.328579673397
114 0.0936585811582 0.328473342666
115 0.093250480824 0.328368827626
116 0.0928476690885 0.328266082149
117 0.0924500327042 0.328165061657
118 0.0920574617898 0.328065723056
119 0.0916698497028 0.327968024676
120 0.0912870929175 0.327871926215
121 0.0909090909091 0.327777388679
122 0.0905357460425 0.32768437433
123 0.0901669634667 0.327592846642
124 0.0898026510134 0.327502770242
125 0.0894427191 0.327414110875
126 0.0890870806375 0.327326835354
127 0.0887356509416 0.327240911521
128 0.0883883476483 0.327156308208
129 0.0880450906326 0.327072995195
130 0.0877058019307 0.326990943182
131 0.0873704056661 0.326910123746
132 0.0870388279778 0.326830509314
133 0.0867109969524 0.326752073128
134 0.0863868425581 0.326674789218
135 0.0860662965824 0.326598632371
136 0.0857492925713 0.326523578106
137 0.0854357657717 0.326449602643
138 0.0851256530759 0.326376682884
139 0.084818892968 0.326304796385
140 0.0845154254729 0.326233921333
141 0.0842151921067 0.326164036527
142 0.0839181358297 0.326095121351
143 0.0836242010007 0.326027155761
144 0.0833333333333 0.32596012026
145 0.0830454798537 0.325893995882
146 0.0827605888602 0.325828764172
147 0.0824786098842 0.325764407171
148 0.0821994936527 0.3257009074
149 0.0819231920519 0.32563824784
150 0.0816496580928 0.325576411922
151 0.0813788458771 0.325515383508
152 0.0811107105654 0.325455146881
153 0.0808452083454 0.325395686728
154 0.0805822964025 0.325336988128
155 0.0803219328902 0.325279036541
156 0.0800640769025 0.325221817794
157 0.0798086884468 0.325165318071
158 0.0795557284176 0.325109523902
159 0.0793051585718 0.325054422149
160 0.0790569415042 0.325
161 0.0788110406239 0.324946244957
162 0.0785674201318 0.324893144827
163 0.0783260449988 0.324840687711
164 0.0780868809443 0.324788861998
165 0.0778498944162 0.324737656354
166 0.0776150525706 0.324687059716
167 0.0773823232534 0.324637061281
168 0.077151674981 0.3245876505
169 0.0769230769231 0.324538817073
170 0.0766964988847 0.324490550936
171 0.0764719112902 0.324442842262
172 0.0762492851663 0.324395681444
173 0.076028592127 0.324349059099
174 0.0758098043579 0.324302966057
175 0.0755928946018 0.324257393351
176 0.0753778361444 0.32421233222
177 0.0751646028003 0.324167774097
178 0.0749531688996 0.324123710603
179 0.0747435092752 0.324080133549
180 0.07453559925 0.32403703492
181 0.0743294146247 0.323994406882
182 0.0741249316661 0.323952241766
183 0.0739221270955 0.323910532072
184 0.0737209780774 0.323869270459
185 0.0735214622094 0.323828449746
186 0.0733235575107 0.323788062901
187 0.0731272424127 0.323748103044
188 0.0729324957489 0.323708563437
189 0.0727392967453 0.323669437485
190 0.072547625011 0.323630718729
191 0.0723574605292 0.323592400845
192 0.0721687836487 0.323554477639
193 0.0719815750749 0.323516943042
194 0.0717958158618 0.323479791112
195 0.0716114874039 0.323443016025
196 0.0714285714286 0.323406612076
197 0.0712470499879 0.323370573675
198 0.0710669054519 0.323334895341
199 0.0708881205008 0.323299571706
200 0.0707106781187 0.323264597505
201 0.0705345615859 0.323229967578
202 0.070359754473 0.323195676866
203 0.0701862406344 0.323161720408
204 0.0700140042014 0.323128093341
205 0.069843029577 0.323094790893
206 0.0696733014292 0.323061808388
207 0.0695048046857 0.323029141235
208 0.0693375245282 0.322996784933
209 0.0691714463866 0.322964735065
210 0.0690065559342 0.322932987299
211 0.0688428390822 0.322901537382
212 0.0686802819743 0.322870381142
213 0.0685188709828 0.322839514485
214 0.0683585927025 0.32280893339
215 0.068199433947 0.322778633914
216 0.068041381744 0.322748612184
217 0.0678844233302 0.322718864397
218 0.0677285461479 0.322689386821
219 0.0675737378399 0.32266017579
220 0.0674199862463 0.322631227706
221 0.0672672793996 0.322602539032
222 0.0671156055214 0.322574106298
223 0.0669649530182 0.322545926093
224 0.0668153104781 0.322517995068
225 0.0666666666667 0.322490309932
226 0.0665190105238 0.322462867451
227 0.06637233116 0.32243566445
228 0.0662266178533 0.322408697806
229 0.0660818600455 0.322381964453
230 0.0659380473396 0.322355461375
231 0.065795169496 0.32232918561
232 0.0656532164299 0.322303134246
233 0.065512178208 0.32227730442
234 0.0653720450461 0.322251693318
235 0.0652328073053 0.322226298173
236 0.0650944554904 0.322201116264
237 0.0649569802462 0.322176144918
238 0.0648203723552 0.322151381504
239 0.0646846227353 0.322126823435
240 0.0645497224368 0.322102468168
241 0.0644156626401 0.3220783132
242 0.0642824346533 0.322054356071
243 0.06415002991 0.32203059436
244 0.0640184399664 0.322007025684
245 0.0638876565 0.321983647702
246 0.0637576713063 0.321960458108
247 0.0636284762976 0.321937454634
248 0.0635000635001 0.321914635048
249 0.0633724250524 0.321891997153
250 0.0632455532034 0.321869538789
251 0.0631194403098 0.321847257827
252 0.0629940788349 0.321825152173
253 0.0628694613462 0.321803219768
254 0.0627455805138 0.321781458581
255 0.0626224291085 0.321759866616
256 0.0625 0.321738441906
257 0.0623782861552 0.321717182515
258 0.0622572806365 0.321696086537
259 0.0621369766001 0.321675152094
260 0.0620173672946 0.321654377339
261 0.061898446059 0.321633760451
262 0.0617802063215 0.321613299638
263 0.0616626415978 0.321592993133
264 0.0615457454897 0.321572839197
265 0.0614295116834 0.321552836117
266 0.0613139339485 0.321532982207
267 0.0611990061362 0.321513275802
268 0.0610847221782 0.321493715266
269 0.060971076085 0.321474298984
270 0.060858061945 0.321455025366
271 0.0607456739231 0.321435892847
272 0.0606339062591 0.321416899881
273 0.0605227532669 0.321398044948
274 0.060412209333 0.321379326549
275 0.0603022689156 0.321360743204
276 0.0601929265429 0.321342293459
277 0.0600841768126 0.321323975876
278 0.0599760143904 0.321305789042
279 0.0598684340089 0.321287731561
280 0.0597614304667 0.321269802058
281 0.0596549986272 0.321251999177
282 0.0595491334175 0.321234321581
283 0.0594438298278 0.321216767953
284 0.0593390829097 0.321199336993
285 0.0592348877759 0.321182027419
286 0.0591312395989 0.321164837968
287 0.0590281336101 0.321147767393
288 0.0589255650989 0.321130814467
289 0.0588235294118 0.321113977975
290 0.0587220219515 0.321097256724
291 0.0586210381761 0.321080649534
292 0.0585205735981 0.321064155241
293 0.0584206237837 0.321047772699
294 0.058321184352 0.321031500775
295 0.058222250974 0.321015338353
296 0.0581238193719 0.32099928433
297 0.0580258853186 0.320983337621
298 0.0579284446363 0.320967497152
299 0.0578314931966 0.320951761866
300 0.057735026919 0.320936130718
301 0.0576390417704 0.320920602677
302 0.0575435337648 0.320905176727
303 0.0574484989621 0.320889851865
304 0.0573539334676 0.320874627099
305 0.0572598334314 0.320859501452
306 0.0571661950475 0.32084447396
307 0.0570730145535 0.32082954367
308 0.0569802882298 0.320814709641
309 0.0568880123989 0.320799970946
310 0.0567961834247 0.320785326669
311 0.0567047977124 0.320770775906
312 0.0566138517072 0.320756317763
313 0.0565233418944 0.320741951358
314 0.0564332647983 0.320727675822
315 0.0563436169819 0.320713490295
316 0.0562543950463 0.320699393928
317 0.0561655956302 0.320685385883
318 0.0560772154092 0.320671465334
