z exact normal
-4 1.02164783513e-05 0.000133830225765
-3.98 1.16284323121e-05 0.000144947560424
-3.96 1.32210686964e-05 0.000156925634066
-3.94 1.50155254501e-05 0.000169825599429
-3.92 1.70351590823e-05 0.000183712498002
-3.9 1.93057472111e-05 0.000198655471393
-3.88 2.1855706264e-05 0.0002147279815
-3.86 2.47163251248e-05 0.000232008039657
-3.84 2.79220155309e-05 0.000250578444891
-3.82 3.15105800261e-05 0.000270527031462
-3.8 3.55234982786e-05 0.000291946925791
-3.78 4.0006232567e-05 0.000314936812908
-3.76 4.50085532327e-05 0.000339601212484
-3.74 5.058488488e-05 0.000366050764557
-3.72 5.67946740908e-05 0.000394402524969
-3.7 6.37027793914e-05 0.000424780270551
-3.68 7.13798841824e-05 0.00045731481406
-3.66 7.99029333015e-05 0.000492144328833
-3.64 8.9355593846e-05 0.000529414683095
-3.62 9.9828740828e-05 0.000569279783834
-3.6 0.000111420968177 0.000611901930114
-3.58 0.000124239125532 0.000657452175655
-3.56 0.000138398881196 0.000706110700488
-3.54 0.000154025311523 0.000758067191429
-3.52 0.000171253516947 0.000813521231082
-3.5 0.0001902292647 0.000872682695046
-3.48 0.000211109658227 0.000935772156927
-3.46 0.000234063833112 0.00100302130073
-3.44 0.000259273679247 0.00107467334015
-3.42 0.000286934588795 0.00115098344418
-3.4 0.000317256229393 0.00123221916847
-3.38 0.000350463341812 0.00131866089182
-3.36 0.000386796561193 0.00141060225694
-3.34 0.000426513260748 0.00150835061485
-3.32 0.000469888416634 0.00161222747198
-3.3 0.00051721549254 0.00172256893905
-3.28 0.000568807342274 0.00183972618082
-3.26 0.000624997128478 0.0019640658655
-3.24 0.000686139255325 0.00209597061286
-3.22 0.000752610312882 0.00223583943969
-3.2 0.000824810030548 0.00238408820146
-3.18 0.000903162236769 0.00254115002873
-3.16 0.000988115821983 0.00270747575684
-3.14 0.00108014570152 0.0028835343476
-3.12 0.00117975377493 0.0030698133011
-3.1 0.00128746987797 0.0032668190562
-3.08 0.00140385272326 0.00347507737785
-3.06 0.00152949082541 0.00369513372956
-3.04 0.00166500340604 0.00392755362892
-3.02 0.00181104127418 0.00417292298452
-3 0.00196828767701 0.00443184841194
-2.98 0.00213745911582 0.00470495752693
-2.96 0.00231930612209 0.00499289921361
-2.94 0.00251461398786 0.00529634386531
-2.92 0.00272420344513 0.00561598359599
-2.9 0.00294893128809 0.00595253241978
-2.88 0.00318969093262 0.00630672639627
-2.86 0.00344741290664 0.0066793237392
-2.84 0.00372306526552 0.00707110488602
-2.82 0.00401765392597 0.00748287252578
-2.8 0.00433222291248 0.00791545158298
-2.78 0.00466785450984 0.00836968915465
-2.76 0.00502566931543 0.00884645439824
-2.74 0.00540682618529 0.00934663836761
-2.72 0.00581252206748 0.00987115379475
-2.7 0.00624399171695 0.0104209348144
-2.68 0.00670250728584 0.0109969366294
-2.66 0.00718937778343 0.0116001351137
-2.64 0.00770594840037 0.0122315263513
-2.62 0.00825359969159 0.0128921261079
-2.6 0.00883374661306 0.0135829692337
-2.58 0.00944783740761 0.0143051089941
-2.56 0.0100973523354 0.0150596163274
-2.54 0.0107838022447 0.0158475790254
-2.52 0.0115087269807 0.0166701008374
-2.5 0.0122736936267 0.0175283004936
-2.48 0.0130802945779 0.0184233106469
-2.46 0.0139301454437 0.0193562767317
-2.44 0.0148248827774 0.0203283557382
-2.42 0.015766161633 0.0213407148999
-2.4 0.0167556529477 0.0223945302948
-2.38 0.0177950407507 0.0234909853582
-2.36 0.0188860192002 0.0246312693064
-2.34 0.0200302894482 0.0258165754716
-2.32 0.0212295563379 0.0270480995469
-2.3 0.022485524934 0.0283270377416
-2.28 0.023799896893 0.0296545848473
-2.26 0.0251743666747 0.031031932215
-2.24 0.0266106176024 0.0324602656437
-2.22 0.0281103177778 0.0339407631824
-2.2 0.0296751158566 0.0354745928462
-2.18 0.0313066366926 0.0370629102478
-2.16 0.0330064768596 0.0387068561475
-2.14 0.0347762000598 0.0404075539229
-2.12 0.0366173324281 0.0421661069618
-2.1 0.038531357744 0.0439835959804
-2.08 0.0405197125618 0.0458610762711
-2.06 0.0425837812715 0.0477995748821
-2.04 0.0447248911032 0.0498000877351
