z exact normal
-4 3.2364733012e-09 0.000133830225765
-3.98 4.71027976708e-09 0.000144947560424
-3.96 6.79224394827e-09 0.000156925634066
-3.94 9.70788114372e-09 0.000169825599429
-3.92 1.3757019968e-08 0.000183712498002
-3.9 1.93352250594e-08 0.000198655471393
-3.88 2.69604963654e-08 0.0002147279815
-3.86 3.73063124696e-08 0.000232008039657
-3.84 5.12422492546e-08 0.000250578444891
-3.82 6.98835840891e-08 0.000270527031462
-3.8 9.46514893376e-08 0.000291946925791
-3.78 1.2734562664e-07 0.000314936812908
-3.76 1.70231174024e-07 0.000339601212484
-3.74 2.26142550037e-07 0.000366050764557
-3.72 2.9860634082e-07 0.000394402524969
-3.7 3.91986185033e-07 0.000424780270551
-3.68 5.11652625033e-07 0.00045731481406
-3.66 6.64181187367e-07 0.000492144328833
-3.64 8.57582207833e-07 0.000529414683095
-3.62 1.10156616194e-06 0.000569279783834
-3.6 1.40784849592e-06 0.000611901930114
-3.58 1.79049817184e-06 0.000657452175655
-3.56 2.26633433718e-06 0.000706110700488
-3.54 2.85537569956e-06 0.000758067191429
-3.52 3.58134732483e-06 0.000813521231082
-3.5 4.47224967626e-06 0.000872682695046
-3.48 5.56099476763e-06 0.000935772156927
-3.46 6.88611430856e-06 0.00100302130073
-3.44 8.49254467004e-06 0.00107467334015
-3.42 1.04324933874e-05 0.00115098344418
-3.4 1.27663917405e-05 0.00123221916847
-3.38 1.55639377044e-05 0.00131866089182
-3.36 1.89052332405e-05 0.00141060225694
-3.34 2.28820195016e-05 0.00150835061485
-3.32 2.75990130401e-05 0.00161222747198
-3.3 3.31753455519e-05 0.00172256893905
-3.28 3.97461090396e-05 0.00183972618082
-3.26 4.74640075554e-05 0.0019640658655
-3.24 5.65011158721e-05 0.00209597061286
-3.22 6.70507445456e-05 0.00223583943969
-3.2 7.93294098696e-05 0.00238408820146
-3.18 9.35789061868e-05 0.00254115002873
-3.16 0.000110068476925 0.00270747575684
-3.14 0.000129097079566 0.0028835343476
-3.12 0.000150995738552 0.0030698133011
-3.1 0.000176129978882 0.0032668190562
-3.08 0.00020490233186 0.00347507737785
-3.06 0.000237754903189 0.00369513372956
-3.04 0.000275171992247 0.00392755362892
-3.02 0.000317682750116 0.00417292298452
-3 0.000365863862617 0.00443184841194
-2.98 0.000420342243369 0.00470495752693
-2.96 0.000481797720644 0.00499289921361
-2.94 0.000550965700649 0.00529634386531
-2.92 0.000628639788784 0.00561598359599
-2.9 0.000715674349389 0.00595253241978
-2.88 0.000812986983625 0.00630672639627
-2.86 0.000921560904321 0.0066793237392
-2.84 0.00104244718593 0.00707110488602
-2.82 0.00117676686724 0.00748287252578
-2.8 0.00132571288407 0.00791545158298
-2.78 0.0014905518089 0.00836968915465
-2.76 0.00167262537448 0.00884645439824
-2.74 0.00187335175823 0.00934663836761
-2.72 0.00209422660498 0.00987115379475
-2.7 0.00233682376555 0.0104209348144
-2.68 0.00260279572975 0.0109969366294
-2.66 0.00289387373286 0.0116001351137
-2.64 0.00321186751589 0.0122315263513
-2.62 0.00355866472096 0.0128921261079
-2.6 0.00393622990464 0.0135829692337
-2.58 0.00434660315337 0.0143051089941
-2.56 0.0047918982872 0.0150596163274
-2.54 0.00527430063951 0.0158475790254
-2.52 0.00579606440267 0.0166701008374
-2.5 0.00635950953158 0.0175283004936
-2.48 0.00696701819946 0.0184233106469
-2.46 0.00762103080238 0.0193562767317
-2.44 0.00832404151178 0.0203283557382
-2.42 0.00907859337647 0.0213407148999
-2.4 0.00988727297856 0.0223945302948
-2.38 0.01075270465 0.0234909853582
-2.36 0.0116775442593 0.0246312693064
-2.34 0.0126644725811 0.0258165754716
-2.32 0.0137161882626 0.0270480995469
-2.3 0.0148354004054 0.0283270377416
-2.28 0.0160248207823 0.0296545848473
-2.26 0.0172871557113 0.031031932215
-2.24 0.018625097613 0.0324602656437
-2.22 0.0200413162778 0.0339407631824
-2.2 0.0215384498724 0.0354745928462
-2.18 0.0231190957186 0.0370629102478
-2.16 0.0247858008759 0.0387068561475
-2.14 0.0265410525649 0.0404075539229
-2.12 0.0283872684679 0.0421661069618
-2.1 0.0303267869445 0.0439835959804
-2.08 0.032361857202 0.0458610762711
-2.06 0.0344946294615 0.0477995748821
-2.04 0.0367271451598 0.0498000877351
-2.02 0.0390613272302 0.0518635766828
-2 0.0414989705024 0.0539909665132
-1.98 0.044041732266 0.0561831419039
-1.96 0.0466911230376 0.0584409443335
-1.94 0.0494484975734 0.0607651689546
-1.92 0.0523150461701 0.0631565614352
-1.9 0.0552917862917 0.0656158147747
-1.88 0.0583795545629 0.068143566101
-1.86 0.0615789991675 0.070740393457
-1.84 0.0648905726867 0.0734068125817
-1.82 0.0683145254134 0.0761432736962
-1.8 0.0718508991749 0.0789501583009
-1.78 0.0754995216953 0.0818277759921
-1.76 0.0792600015267 0.084776361308
-1.74 0.0831317235743 0.0877960706109
-1.72 0.0871138452419 0.0908869790163
-1.7 0.0912052932174 0.0940490773769
-1.68 0.0954047609174 0.0972822693315
-1.66 0.0997107066082 0.100586368428
-1.64 0.104121352215 0.103961095329
-1.62 0.108634682831 0.107406075113
-1.6 0.113248446933 0.110920834679
-1.58 0.117960157307 0.114504800259
-1.56 0.122767092691 0.11815729506
-1.54 0.127666300121 0.121877537032
-1.52 0.132654597996 0.125664636789
-1.5 0.137728579829 0.129517595666
-1.48 0.142884618704 0.133435303951
-1.46 0.148118872392 0.137416539282
-1.44 0.153427289146 0.141459965225
-1.42 0.158805614126 0.145564130037
-1.4 0.164249396456 0.149727465636
-1.38 0.169753996877 0.153948286763
-1.36 0.175314595974 0.15822479037
-1.34 0.180926202954 0.162555055226
-1.32 0.186583664939 0.166937041742
-1.3 0.192281676747 0.171368592048
-1.28 0.198014791127 0.175847430298
-1.26 0.203777429415 0.180371163227
-1.24 0.209563892577 0.184937280963
-1.22 0.215368372589 0.189543158092
-1.2 0.221184964142 0.194186054983
-1.18 0.227007676608 0.198863119387
-1.16 0.232830446238 0.203571388291
-1.14 0.238647148558 0.208307790047
-1.12 0.244451610917 0.213069146776
-1.1 0.250237625139 0.217852177033
-1.08 0.255998960258 0.222653498752
-1.06 0.261729375281 0.227469632457
-1.04 0.267422631942 0.232297004743
-1.02 0.273072507411 0.237131952019
-1 0.278672806927 0.241970724519
-0.98 0.284217376292 0.246809490567
-0.96 0.289700114229 0.251644341098
-0.94 0.295114984526 0.256471294426
-0.92 0.300456027967 0.26128630125
-0.9 0.305717373997 0.266085249899
-0.88 0.310893252092 0.270863971798
-0.86 0.315978002814 0.275618247153
-0.84 0.32096608851 0.28034381084
-0.82 0.325852103637 0.285036358489
-0.8 0.330630784683 0.289691552761
-0.78 0.335297019666 0.294305029788
-0.76 0.33984585718 0.298872405776
-0.74 0.344272514984 0.303389283756
-0.72 0.348572388099 0.30785126047
-0.7 0.352741056412 0.312253933367
-0.68 0.35677429176 0.316592907711
-0.66 0.360668064498 0.320863803771
-0.64 0.364418549525 0.325062264084
-0.62 0.368022131771 0.329183960771
-0.6 0.371475411134 0.333224602892
-0.58 0.374775206866 0.337179943822
-0.56 0.377918561402 0.34104578863
-0.54 0.380902743635 0.344818001439
-0.52 0.383725251635 0.348492512759
-0.5 0.386383814821 0.352065326764
-0.48 0.388876395583 0.355532528506
-0.46 0.391201190361 0.358890291034
-0.44 0.393356630198 0.362134882413
-0.42 0.395341380765 0.365262672622
-0.4 0.397154341876 0.368270140303
-0.38 0.398794646498 0.371153879359
-0.36 0.400261659277 0.373910605373
-0.34 0.401554974588 0.376537161833
-0.32 0.40267441413 0.379030526153
-0.3 0.403620024072 0.381387815461
-0.28 0.404392071781 0.383606292153
-0.26 0.40499104214 0.385683369192
-0.24 0.405417633477 0.387616615125
-0.22 0.405672753126 0.389403758834
-0.2 0.405757512636 0.391042693975
-0.18 0.405673222659 0.39253148312
-0.16 0.405421387518 0.393868361569
-0.14 0.405003699495 0.395051740835
-0.12 0.404422032853 0.396080211794
-0.1 0.403678437611 0.396952547477
-0.08 0.402775133096 0.397667705512
-0.06 0.401714501292 0.398224830196
-0.04 0.400499080012 0.398623254205
-0.02 0.399131555907 0.398862499924
0 0.39761475734 0.398942280401
0.02 0.395951647137 0.398862499924
0.04 0.394145315246 0.398623254205
0.06 0.392198971318 0.398224830196
0.08 0.390115937229 0.397667705512
0.1 0.387899639565 0.396952547477
0.12 0.385553602086 0.396080211794
0.14 0.383081438192 0.395051740835
0.16 0.380486843399 0.393868361569
0.18 0.377773587855 0.39253148312
0.2 0.374945508903 0.391042693975
0.22 0.372006503702 0.389403758834
0.24 0.368960521943 0.387616615125
0.26 0.365811558642 0.385683369192
0.28 0.362563647052 0.383606292153
0.3 0.359220851694 0.381387815461
0.32 0.355787261512 0.379030526153
0.34 0.352266983183 0.376537161833
0.36 0.348664134572 0.373910605373
0.38 0.344982838353 0.371153879359
0.4 0.341227215808 0.368270140303
0.42 0.337401380795 0.365262672622
0.44 0.333509433913 0.362134882413
0.46 0.329555456862 0.358890291034
0.48 0.325543506995 0.355532528506
0.5 0.321477612088 0.352065326764
0.52 0.317361765305 0.348492512759
0.54 0.313199920393 0.344818001439
0.56 0.308995987081 0.34104578863
0.58 0.304753826708 0.337179943822
0.6 0.300477248063 0.333224602892
0.62 0.296170003456 0.329183960771
0.64 0.291835785007 0.325062264084
0.66 0.287478221161 0.320863803771
0.68 0.283100873421 0.316592907711
0.7 0.278707233308 0.312253933367
0.72 0.274300719539 0.30785126047
0.74 0.26988467542 0.303389283756
0.76 0.265462366457 0.298872405776
0.78 0.261036978182 0.294305029788
0.8 0.256611614184 0.289691552761
0.82 0.252189294345 0.285036358489
0.84 0.247772953286 0.28034381084
0.86 0.243365438997 0.275618247153
0.88 0.238969511674 0.270863971798
0.9 0.234587842729 0.266085249899
0.92 0.230223014 0.26128630125
0.94 0.22587751712 0.256471294426
0.96 0.221553753074 0.251644341098
0.98 0.21725403191 0.246809490567
1 0.212980572621 0.241970724519
1.02 0.208735503168 0.237131952019
1.04 0.204520860669 0.232297004743
1.06 0.200338591713 0.227469632457
1.08 0.196190552818 0.222653498752
1.1 0.192078511023 0.217852177033
1.12 0.188004144595 0.213069146776
1.14 0.183969043856 0.208307790047
1.16 0.179974712123 0.203571388291
1.18 0.176022566751 0.198863119387
1.2 0.172113940274 0.194186054983
1.22 0.168250081639 0.189543158092
1.24 0.164432157525 0.184937280963
1.26 0.160661253742 0.180371163227
1.28 0.156938376707 0.175847430298
1.3 0.153264454983 0.171368592048
1.32 0.149640340888 0.166937041742
1.34 0.14606681215 0.162555055226
1.36 0.142544573626 0.15822479037
1.38 0.139074259055 0.153948286763
1.4 0.135656432864 0.149727465636
1.42 0.132291592 0.145564130037
1.44 0.128980167794 0.141459965225
1.46 0.12572252786 0.137416539282
1.48 0.122518978003 0.133435303951
1.5 0.119369764155 0.129517595666
1.52 0.116275074316 0.125664636789
1.54 0.113235040507 0.121877537032
1.56 0.11024974073 0.11815729506
1.58 0.107319200926 0.114504800259
1.6 0.104443396932 0.110920834679
1.62 0.101622256429 0.107406075113
1.64 0.098855660889 0.103961095329
1.66 0.0961434474991 0.100586368428
1.68 0.0934854110797 0.0972822693315
1.7 0.09088130598 0.0940490773769
1.72 0.088330847955 0.0908869790163
1.74 0.0858337160193 0.0877960706109
1.76 0.0833895542767 0.084776361308
1.78 0.0809979737217 0.0818277759921
1.8 0.0786585540134 0.0789501583009
1.82 0.0763708452183 0.0761432736962
1.84 0.07413436952 0.0734068125817
1.86 0.0719486228971 0.070740393457
1.88 0.0698130767639 0.068143566101
1.9 0.0677271795765 0.0656158147747
1.92 0.0656903584009 0.0631565614352
1.94 0.0637020204427 0.0607651689546
1.96 0.0617615545384 0.0584409443335
1.98 0.0598683326059 0.0561831419039
2 0.0580217110557 0.0539909665132
2.02 0.0562210321608 0.0518635766828
2.04 0.0544656253852 0.0498000877351
2.06 0.0527548086713 0.0477995748821
2.08 0.051087889685 0.0458610762711
2.1 0.0494641670205 0.0439835959804
2.12 0.0478829313611 0.0421661069618
2.14 0.0463434666005 0.0404075539229
2.16 0.0448450509212 0.0387068561475
2.18 0.0433869578322 0.0370629102478
2.2 0.0419684571652 0.0354745928462
2.22 0.0405888160307 0.0339407631824
2.24 0.0392472997336 0.0324602656437
2.26 0.0379431726487 0.031031932215
2.28 0.0366756990578 0.0296545848473
2.3 0.0354441439469 0.0283270377416
2.32 0.0342477737666 0.0270480995469
2.34 0.0330858571539 0.0258165754716
2.36 0.0319576656183 0.0246312693064
2.38 0.0308624741912 0.0234909853582
2.4 0.0297995620402 0.0223945302948
2.42 0.028768213049 0.0213407148999
2.44 0.0277677163636 0.0203283557382
2.46 0.0267973669056 0.0193562767317
2.48 0.0258564658532 0.0184233106469
2.5 0.0249443210917 0.0175283004936
2.52 0.024060247633 0.0166701008374
2.54 0.0232035680058 0.0158475790254
2.56 0.0223736126175 0.0150596163274
