x n1 n4 n25
0 0.2 0 0
0.04 0.198406382967 4.23146982421e-06 1.10694319236e-40
0.08 0.196825464011 3.27856510129e-05 1.52049968071e-33
0.12 0.195257141952 0.000107166775963 2.09564470426e-29
0.16 0.193701316416 0.000246024836504 1.70996978476e-26
0.2 0.19215788783 0.000465384127947 2.96462558485e-24
0.24 0.190626757416 0.000778857277442 1.92957143382e-22
0.28 0.189107827178 0.00119784556064 6.38741179291e-21
0.32 0.187600999906 0.00173172627001 1.28905885599e-19
0.36 0.186106179162 0.00238802785946 1.78268409284e-18
0.4 0.184623269277 0.00317259355291 1.82976479022e-17
0.44 0.183152175345 0.00408973406962 1.47557338666e-16
0.48 0.181692803214 0.00514237008518 9.75051104707e-16
0.52 0.180245059484 0.00633216501571 5.45078475412e-15
0.56 0.1788088515 0.00765964868205 2.64260673227e-14
0.6 0.177384087343 0.00912433238222 1.13315938945e-13
0.64 0.175970675829 0.0107248158726 4.36637942386e-13
0.68 0.174568526498 0.0124588867326 1.53164142813e-12
0.72 0.173177549612 0.0143236125617 4.94383784532e-12
0.76 0.171797656148 0.0163154264364 1.48167045757e-11
0.8 0.170428757793 0.0184302060278 4.15457112569e-11
0.84 0.169070766937 0.0206633467649 1.09700973034e-10
0.88 0.167723596667 0.0230098294027 2.7430444767e-10
0.92 0.166387160765 0.0254642823388 6.52676051891e-10
0.96 0.165061373698 0.0280210390016 1.48402261107e-09
1 0.163746150616 0.0306741906171 3.2364733012e-09
1.04 0.162441407342 0.0334176346425 6.79224394827e-09
1.08 0.161147060375 0.036245119143 1.3757019968e-08
1.12 0.159863026874 0.039150283368 2.69604963654e-08
1.16 0.158589224661 0.0421266947725 5.12422492546e-08
1.2 0.157325572213 0.0451678827155 9.46514893376e-08
1.24 0.156071988656 0.0482673690514 1.70231174024e-07
1.28 0.154828393758 0.051418695823 2.9860634082e-07
1.32 0.153594707931 0.0546154502477 5.11652625033e-07
1.36 0.152370852218 0.0578512871827 8.57582207833e-07
1.4 0.151156748291 0.06111994924 1.40784849592e-06
1.44 0.149952318448 0.0644152847161 2.26633433718e-06
1.48 0.148757485604 0.0677312634877 3.58134732483e-06
1.52 0.14757217329 0.071061991021 5.56099476763e-06
1.56 0.146396305646 0.0744017206272 8.49254467004e-06
1.6 0.145229807415 0.077744864096 1.27663917405e-05
