n theory simulated
10 0.0794552157705 0.0778795500739
20 0.0561833218719 0.0552154128716
40 0.0397276078852 0.0386267362832
80 0.028091660936 0.0279464982248
160 0.0198638039426 0.0197398762278
320 0.014045830468 0.0140913329465
640 0.00993190197131 0.00997858024738
1280 0.00702291523399 0.00709737813305
2560 0.00496595098565 0.00514538234937
5120 0.003511457617 0.00352045110504
10000 0.00251259453815 0.00252083947264
